CO(ppm),Pressure,Temperature,Humidity,WindSpeed,WindDirections,TrafficCounts,DieselCounts,GasselCounts
0.84,100.8,30.2,23.8,1.393,166.985,18,12,6
0.842,100.8,30.04,23.4,2.16,180,15,11,3
0.754,100.8,30.1,23.4,1.994,197.655,22,10,9
0.832,100.8,30,23,1.855,207.471,22,12,8
0.844,100.8,30.1,23,2.669,189.742,12,4,7
0.838,100.8,29.92,23,2.809,194.196,17,6,11
0.846,100.8,29.98,23.2,3.1,192.692,23,9,11
0.838,100.8,30.06,23,2.867,188.598,16,8,7
0.85,100.8,30.1,23,3.381,184.024,17,9,8
0.817,100.8,30.1,24,2.646,184.645,13,10,3
0.83,100.8,30,23.2,3.221,194.028,36,11,24
0.813,100.8,29.96,24,3.059,197.621,25,11,14
0.862,100.8,29.94,24,2.057,183.414,13,11,2
0.82,100.8,29.8,23.6,2.6,180,13,7,6
0.832,100.8,29.84,23.6,1.888,173.016,13,3,10
0.863,100.8,29.8,23.8,1.96,180,10,2,8
0.826,100.8,29.76,24.4,2.255,198.607,18,8,9
0.823,100.8,29.76,25.2,2.095,226.047,18,10,8
0.866,100.8,29.66,25.4,2.46,202.5,16,7,9
0.808,100.8,29.54,25.8,1.717,233.198,17,11,5
0.824,100.8,29.54,25.4,2.04,202.5,19,11,6
0.765,100.8,29.56,25.8,1.953,218.936,18,4,14
0.82,100.8,29.48,25.2,2.604,230.058,22,6,15
0.818,100.8,29.36,25,2.064,222.449,23,10,10
0.81,100.8,29.28,25,2.969,221.453,22,8,13
0.853,100.8,29.14,25,2.919,240.823,19,10,8
0.784,100.8,29,25,2.643,230.149,23,14,9
0.833,100.8,29.02,25,2.262,225.581,20,7,12
0.854,100.8,28.98,25,2.705,229.707,16,9,6
0.857,100.8,28.96,24.8,2.273,222.878,10,6,4
0.852,100.8,28.96,24.4,2.02,225,11,5,6
0.835,100.8,28.88,25,2.482,230.058,17,7,9
0.798,100.8,28.72,25,2.6,225,21,11,9
0.868,100.8,28.78,25,2.061,211.472,23,17,6
0.832,100.8,28.8,25.2,2.56,225,20,11,8
0.833,100.8,28.74,25.6,1.905,194.185,18,6,12
0.798,100.8,28.74,25.2,2.28,225,15,6,9
0.818,100.8,28.76,25.4,1.738,229.546,12,7,5
0.788,100.8,28.86,26,2.16,226.421,23,14,8
0.807,100.8,28.8,26,2.101,224.791,14,4,9
0.796,100.8,28.68,26,2.531,236.868,19,8,11
0.82,100.8,28.52,26.2,2.141,233.429,20,12,8
0.77,100.78,28.5,26,2.315,228.792,12,6,5
0.793,100.72,28.5,26,2.155,229.073,11,6,5
0.816,100.7,28.4,26,2.511,229.02,27,12,15
0.803,100.7,28.32,26,2.035,229.313,18,8,10
0.81,100.7,28.38,26,1.533,228.721,16,4,11
0.772,100.7,28.32,26,1.744,227.516,13,4,8
0.852,100.7,28.32,26,1.878,226.634,17,12,4
0.817,100.7,28.34,26.2,2.2,247.5,17,8,9
0.838,100.7,28.3,26,2.22,225,15,5,10
0.828,100.74,28.26,26,2.44,225,22,8,14
0.846,100.8,28.12,26.4,2.12,221.896,22,11,10
0.727,100.8,28.06,26.8,2.173,220.556,23,11,12
0.834,100.8,28,27,1.515,231.671,22,9,12
0.792,100.78,27.98,27,2.054,229.487,13,3,9
0.836,100.8,27.8,27,2.189,230.418,19,11,8
0.827,100.74,27.78,27.4,1.878,226.634,27,12,15
0.838,100.78,27.62,28,2.366,219.618,21,10,10
0.857,100.8,27.5,28,2,225,17,2,14
0.798,100.8,27.4,28,1.659,229.498,17,3,14
0.812,100.8,27.32,28,1.526,228.164,14,5,7
0.728,100.8,27.32,28,1.805,214.741,18,6,12
0.768,100.8,27.3,28,1.5,227.047,17,11,6
0.758,100.8,27.34,28,1.02,211.997,16,12,3
0.765,100.8,27.18,28,1.184,229.819,21,8,10
0.664,100.8,27.1,28.4,1.126,220.714,18,9,8
0.75,100.8,27.1,29,0.692,233.91,22,9,13
0.752,100.8,27,29,0.844,223.44,12,5,7
0.737,100.8,26.78,29.2,0.902,214.741,17,7,8
0.774,100.8,26.7,29.8,0.885,240.547,20,9,11
0.775,100.8,26.36,30.4,0.784,230.601,15,8,6
0.756,100.8,26.2,31,0.351,226.629,13,6,7
0.788,100.8,26.2,31,0.513,212.67,24,7,16
0.752,100.8,26.3,30,0.464,207.742,22,14,7
0.788,100.8,26.34,30,0.282,245.032,12,5,6
0.756,100.8,26.14,31,0.13,239.752,9,4,4
0.778,100.8,25.94,31,0.155,275.242,12,10,1
0.728,100.8,25.9,31.6,0.154,278.128,12,3,8
0.73,100.8,25.72,32,0.02,315,17,11,6
0.762,100.8,25.36,32.2,0,0,13,6,6
0.752,100.8,25.14,33,0,0,15,6,9
0.748,100.8,24.98,33.6,0.02,292.5,17,11,6
0.722,100.8,25.2,32.4,0.375,252.181,18,9,8
0.732,100.8,25.5,32,0.275,229.303,12,7,5
0.666,100.8,25.5,32.2,0.137,238.316,22,14,7
0.718,100.8,25.44,32.6,0.315,240.516,13,6,7
0.58,100.8,25.3,33.4,0.635,182.765,9,5,3
0.61,100.8,25.3,34.6,0.3,231.282,13,6,7
0.706,100.8,25.1,34.8,0.257,266.591,15,5,9
0.723,100.8,24.9,36.2,0.291,249.4,17,10,7
0.686,100.8,24.92,34.8,0.186,222.643,19,11,8
0.722,100.82,24.88,34.4,0.308,237.923,16,9,6
0.728,100.9,24.8,34.6,0.356,245.035,11,7,4
0.747,100.9,24.74,34,0.253,263.042,10,2,8
0.72,100.9,24.62,35.2,0.04,270,9,3,5
0.745,100.9,24.18,36.4,0,0,11,4,6
0.77,100.9,23.5,37.6,0.099,85.556,12,8,4
0.75,100.9,23.08,39,0.04,90,17,9,7
0.75,100.9,22.66,40,0,0,6,1,4
0.718,100.9,22.56,40,0,0,10,7,3
0.708,100.9,22.64,39.4,0,0,14,10,4
0.738,100.9,22.52,40,0.039,56.25,16,8,8
0.742,100.9,22.3,40.4,0.02,45,13,7,6
0.74,100.9,22.3,40.8,0,0,10,6,4
0.682,100.9,22.54,40,0,0,11,5,5
0.628,100.8,28.3,31.4,0.935,259.678,13,8,5
0.668,100.8,28.5,31,1.476,285.648,16,7,8
0.678,100.8,28.42,30.4,1.624,269.73,17,11,6
0.69,100.8,28.52,30.4,1.403,274.381,14,9,5
0.726,100.8,28.64,28.4,1.737,287.698,16,6,9
0.72,100.8,29.02,28.2,1.357,277.128,8,5,2
0.733,100.8,29.38,28,1.08,284.355,14,7,5
0.738,100.8,29.7,27.6,0.716,306.397,15,9,5
0.74,100.8,30.28,24.6,1.577,285.986,22,9,12
0.734,100.8,30.14,24.8,1.347,279.485,25,14,11
0.778,100.8,30.06,24,1.409,250.925,13,8,3
0.694,100.8,29.94,25,1.327,282.872,19,10,9
0.768,100.8,30.36,24.4,1.127,265.181,18,9,9
0.83,100.8,30.94,22.8,1.079,279.386,19,12,7
0.827,100.8,31.18,23,1.315,276.163,8,7,1
