CO2(ppm),Pressure,Temperature,Humidity,WindSpeed,WindDirections,TrafficCounts,DieselCounts,GasselCounts
470.51,100.8,30.2,23.8,1.393,166.985,18,12,6
469.942,100.8,30.04,23.4,2.16,180,15,11,3
476.904,100.8,30.1,23.4,1.994,197.655,22,10,9
470.727,100.8,30,23,1.855,207.471,22,12,8
470.95,100.8,30.1,23,2.669,189.742,12,4,7
470.205,100.8,29.92,23,2.809,194.196,17,6,11
471.506,100.8,29.98,23.2,3.1,192.692,23,9,11
472.523,100.8,30.06,23,2.867,188.598,16,8,7
469.836,100.8,30.1,23,3.381,184.024,17,9,8
475.3,100.8,30.1,24,2.646,184.645,13,10,3
479.816,100.8,30,23.2,3.221,194.028,36,11,24
477.008,100.8,29.96,24,3.059,197.621,25,11,14
472.13,100.8,29.94,24,2.057,183.414,13,11,2
470.012,100.8,29.8,23.6,2.6,180,13,7,6
474.384,100.8,29.84,23.6,1.888,173.016,13,3,10
468.678,100.8,29.8,23.8,1.96,180,10,2,8
472.2,100.8,29.76,24.4,2.255,198.607,18,8,9
477.88,100.8,29.76,25.2,2.095,226.047,18,10,8
469.984,100.8,29.66,25.4,2.46,202.5,16,7,9
476.243,100.8,29.54,25.8,1.717,233.198,17,11,5
475.42,100.8,29.54,25.4,2.04,202.5,19,11,6
481.05,100.8,29.56,25.8,1.953,218.936,18,4,14
479.822,100.8,29.48,25.2,2.604,230.058,22,6,15
474.862,100.8,29.36,25,2.064,222.449,23,10,10
477.802,100.8,29.28,25,2.969,221.453,22,8,13
472.878,100.8,29.14,25,2.919,240.823,19,10,8
475.962,100.8,29,25,2.643,230.149,23,14,9
471.807,100.8,29.02,25,2.262,225.581,20,7,12
470.698,100.8,28.98,25,2.705,229.707,16,9,6
466.478,100.8,28.96,24.8,2.273,222.878,10,6,4
468.44,100.8,28.96,24.4,2.02,225,11,5,6
468.938,100.8,28.88,25,2.482,230.058,17,7,9
473.268,100.8,28.72,25,2.6,225,21,11,9
467.828,100.8,28.78,25,2.061,211.472,23,17,6
473.322,100.8,28.8,25.2,2.56,225,20,11,8
469.917,100.8,28.74,25.6,1.905,194.185,18,6,12
470.038,100.8,28.74,25.2,2.28,225,15,6,9
472.773,100.8,28.76,25.4,1.738,229.546,12,7,5
476.224,100.8,28.86,26,2.16,226.421,23,14,8
476.5,100.8,28.8,26,2.101,224.791,14,4,9
488.036,100.8,28.68,26,2.531,236.868,19,8,11
478.998,100.8,28.52,26.2,2.141,233.429,20,12,8
479.852,100.78,28.5,26,2.315,228.792,12,6,5
