NO2(ppb),Pressure,Temperature,Humidity,WindSpeed,WindDirections,TrafficCounts,DieselCounts,GasselCounts
65.942,100.8,30.2,23.8,1.393,166.985,18,12,6
72.393,100.8,30.04,23.4,2.16,180,15,11,3
60.292,100.8,30.1,23.4,1.994,197.655,22,10,9
69.718,100.8,30,23,1.855,207.471,22,12,8
62.742,100.8,30.1,23,2.669,189.742,12,4,7
63.285,100.8,29.92,23,2.809,194.196,17,6,11
65.338,100.8,29.98,23.2,3.1,192.692,23,9,11
67.212,100.8,30.06,23,2.867,188.598,16,8,7
66.806,100.8,30.1,23,3.381,184.024,17,9,8
64.31,100.8,30.1,24,2.646,184.645,13,10,3
66.194,100.8,30,23.2,3.221,194.028,36,11,24
64.988,100.8,29.96,24,3.059,197.621,25,11,14
61.07,100.8,29.94,24,2.057,183.414,13,11,2
65.782,100.8,29.8,23.6,2.6,180,13,7,6
73.23,100.8,29.84,23.6,1.888,173.016,13,3,10
68.585,100.8,29.8,23.8,1.96,180,10,2,8
57.044,100.8,29.76,24.4,2.255,198.607,18,8,9
62.56,100.8,29.76,25.2,2.095,226.047,18,10,8
72.262,100.8,29.66,25.4,2.46,202.5,16,7,9
69.933,100.8,29.54,25.8,1.717,233.198,17,11,5
72.288,100.8,29.54,25.4,2.04,202.5,19,11,6
60.32,100.8,29.56,25.8,1.953,218.936,18,4,14
67.284,100.8,29.48,25.2,2.604,230.058,22,6,15
71.28,100.8,29.36,25,2.064,222.449,23,10,10
70.794,100.8,29.28,25,2.969,221.453,22,8,13
63.773,100.8,29.14,25,2.919,240.823,19,10,8
64.686,100.8,29,25,2.643,230.149,23,14,9
62.792,100.8,29.02,25,2.262,225.581,20,7,12
79.966,100.8,28.98,25,2.705,229.707,16,9,6
63.65,100.8,28.96,24.8,2.273,222.878,10,6,4
64.416,100.8,28.96,24.4,2.02,225,11,5,6
62.375,100.8,28.88,25,2.482,230.058,17,7,9
66.572,100.8,28.72,25,2.6,225,21,11,9
