NO(ppb),NO2(ppb),CO2(ppm),CO(ppm),CH4(ppm),Pressure,Temperature,Humidity,WindSpeed,WindDirections,TrafficCounts,DieselCounts,GasselCounts
82.335,65.942,470.510,0.840,1.754,100.8,30.2,23.8,1.393,166.985,18,12,6
82.234,72.393,469.942,0.842,1.745,100.8,30.04,23.4,2.160,180.000,15,11,3
102.912,60.292,476.904,0.754,1.738,100.8,30.1,23.4,1.994,197.655,22,10,9
74.728,69.718,470.727,0.832,1.725,100.8,30,23,1.855,207.471,22,12,8
72.328,62.742,470.950,0.844,1.736,100.8,30.1,23,2.669,189.742,12,4,7
81.913,63.285,470.205,0.838,1.732,100.8,29.92,23,2.809,194.196,17,6,11
73.849,65.338,471.506,0.846,1.734,100.8,29.98,23.2,3.100,192.692,23,9,11
80.297,67.212,472.523,0.838,1.742,100.8,30.06,23,2.867,188.598,16,8,7
75.156,66.806,469.836,0.850,1.740,100.8,30.1,23,3.381,184.024,17,9,8
89.983,64.310,475.300,0.817,1.748,100.8,30.1,24,2.646,184.645,13,10,3
100.507,66.194,479.816,0.830,1.736,100.8,30,23.2,3.221,194.028,36,11,24
90.831,64.988,477.008,0.813,1.742,100.8,29.96,24,3.059,197.621,25,11,14
88.753,61.070,472.130,0.862,1.752,100.8,29.94,24,2.057,183.414,13,11,2
81.302,65.782,470.012,0.820,1.747,100.8,29.8,23.6,2.600,180.000,13,7,6
94.410,73.230,474.384,0.832,1.754,100.8,29.84,23.6,1.888,173.016,13,3,10
82.821,68.585,468.678,0.863,1.740,100.8,29.8,23.8,1.960,180.000,10,2,8
89.426,57.044,472.200,0.826,1.754,100.8,29.76,24.4,2.255,198.607,18,8,9
109.976,62.560,477.880,0.823,1.790,100.8,29.76,25.2,2.095,226.047,18,10,8
104.444,72.262,469.984,0.866,1.790,100.8,29.66,25.4,2.460,202.500,16,7,9
114.550,69.933,476.243,0.808,1.813,100.8,29.54,25.8,1.717,233.198,17,11,5
112.013,72.288,475.420,0.824,1.796,100.8,29.54,25.4,2.040,202.500,19,11,6
130.531,60.320,481.050,0.765,1.793,100.8,29.56,25.8,1.953,218.936,18,4,14
116.370,67.284,479.822,0.820,1.788,100.8,29.48,25.2,2.604,230.058,22,6,15
101.731,71.280,474.862,0.818,1.772,100.8,29.36,25,2.064,222.449,23,10,10
110.664,70.794,477.802,0.810,1.776,100.8,29.28,25,2.969,221.453,22,8,13
105.184,63.773,472.878,0.853,1.772,100.8,29.14,25,2.919,240.823,19,10,8
107.528,64.686,475.962,0.784,1.762,100.8,29,25,2.643,230.149,23,14,9
114.272,62.792,471.807,0.833,1.753,100.8,29.02,25,2.262,225.581,20,7,12
101.511,79.966,470.698,0.854,1.760,100.8,28.98,25,2.705,229.707,16,9,6
84.614,63.650,466.478,0.857,1.752,100.8,28.96,24.8,2.273,222.878,10,6,4
87.978,64.416,468.440,0.852,1.744,100.8,28.96,24.4,2.020,225.000,11,5,6
95.943,62.375,468.938,0.835,1.752,100.8,28.88,25,2.482,230.058,17,7,9
107.399,66.572,473.268,0.798,1.740,100.8,28.72,25,2.600,225.000,21,11,9
102.876,65.095,467.828,0.868,1.757,100.8,28.78,25,2.061,211.472,23,17,6
113.559,68.944,473.322,0.832,1.760,100.8,28.8,25.2,2.560,225.000,20,11,8
110.260,72.532,469.917,0.833,1.758,100.8,28.74,25.6,1.905,194.185,18,6,12
106.558,67.704,470.038,0.798,1.758,100.8,28.74,25.2,2.280,225.000,15,6,9
110.678,66.302,472.773,0.818,1.763,100.8,28.76,25.4,1.738,229.546,12,7,5
110.244,71.908,476.224,0.788,1.766,100.8,28.86,26,2.160,226.421,23,14,8
97.454,71.703,476.500,0.807,1.778,100.8,28.8,26,2.101,224.791,14,4,9
119.413,58.706,488.036,0.796,1.772,100.8,28.68,26,2.531,236.868,19,8,11
101.504,67.133,478.998,0.820,1.782,100.8,28.52,26.2,2.141,233.429,20,12,8
113.618,71.176,479.852,0.770,1.776,100.78,28.5,26,2.315,228.792,12,6,5
105.937,71.700,478.548,0.793,1.778,100.72,28.5,26,2.155,229.073,11,6,5
111.521,67.418,477.476,0.816,1.762,100.7,28.4,26,2.511,229.020,27,12,15
114.987,71.693,478.282,0.803,1.775,100.7,28.32,26,2.035,229.313,18,8,10
101.744,66.850,476.118,0.810,1.772,100.7,28.38,26,1.533,228.721,16,4,11
117.244,64.643,478.017,0.772,1.778,100.7,28.32,26,1.744,227.516,13,4,8
94.705,74.566,471.898,0.852,1.768,100.7,28.32,26,1.878,226.634,17,12,4
124.879,74.285,478.240,0.817,1.777,100.7,28.34,26.2,2.200,247.500,17,8,9
105.584,63.546,471.734,0.838,1.774,100.7,28.3,26,2.220,225.000,15,5,10
113.444,74.655,473.865,0.828,1.763,100.74,28.26,26,2.440,225.000,22,8,14
99.097,66.588,471.286,0.846,1.768,100.8,28.12,26.4,2.120,221.896,22,11,10
107.128,61.340,479.483,0.727,1.790,100.8,28.06,26.8,2.173,220.556,23,11,12
117.551,62.430,474.544,0.834,1.790,100.8,28,27,1.515,231.671,22,9,12
130.731,70.403,475.248,0.792,1.798,100.78,27.98,27,2.054,229.487,13,3,9
113.285,59.236,470.768,0.836,1.796,100.8,27.8,27,2.189,230.418,19,11,8
124.894,68.163,474.960,0.827,1.798,100.74,27.78,27.4,1.878,226.634,27,12,15
113.062,65.528,471.586,0.838,1.800,100.78,27.62,28,2.366,219.618,21,10,10
119.641,71.402,471.920,0.857,1.792,100.8,27.5,28,2.000,225.000,17,2,14
114.500,69.774,471.888,0.798,1.802,100.8,27.4,28,1.659,229.498,17,3,14
142.223,74.407,476.693,0.812,1.802,100.8,27.32,28,1.526,228.164,14,5,7
135.822,64.616,479.308,0.728,1.796,100.8,27.32,28,1.805,214.741,18,6,12
141.318,73.073,478.490,0.768,1.797,100.8,27.3,28,1.500,227.047,17,11,6
147.475,79.986,479.988,0.758,1.790,100.8,27.34,28,1.020,211.997,16,12,3
127.587,70.552,476.083,0.765,1.793,100.8,27.18,28,1.184,229.819,21,8,10
129.147,71.518,483.318,0.664,1.796,100.8,27.1,28.4,1.126,220.714,18,9,8
152.428,72.985,487.483,0.750,1.803,100.8,27.1,29,0.692,233.910,22,9,13
117.933,71.730,479.386,0.752,1.798,100.8,27,29,0.844,223.440,12,5,7
130.619,65.925,483.790,0.737,1.803,100.8,26.78,29.2,0.902,214.741,17,7,8
146.556,70.224,481.146,0.774,1.814,100.8,26.7,29.8,0.885,240.547,20,9,11
162.492,63.755,479.782,0.775,1.820,100.8,26.36,30.4,0.784,230.601,15,8,6
136.711,72.054,479.570,0.756,1.822,100.8,26.2,31,0.351,226.629,13,6,7
142.346,77.548,479.833,0.788,1.912,100.8,26.2,31,0.513,212.670,24,7,16
133.699,68.024,482.554,0.752,1.812,100.8,26.3,30,0.464,207.742,22,14,7
142.755,75.088,477.855,0.788,1.813,100.8,26.34,30,0.282,245.032,12,5,6
149.839,77.016,482.848,0.756,1.928,100.8,26.14,31,0.130,239.752,9,4,4
148.241,70.180,488.020,0.778,2.030,100.8,25.94,31,0.155,275.242,12,10,1
173.732,70.216,497.608,0.728,2.064,100.8,25.9,31.6,0.154,278.128,12,3,8
182.155,78.905,493.858,0.730,2.063,100.8,25.72,32,0.020,315.000,17,11,6
152.164,76.260,485.024,0.762,2.036,100.8,25.36,32.2,0.000,0.000,13,6,6
141.132,68.952,485.677,0.752,2.045,100.8,25.14,33,0.000,0.000,15,6,9
183.042,83.814,488.086,0.748,2.040,100.8,24.98,33.6,0.020,292.500,17,11,6
187.098,72.778,494.477,0.722,2.028,100.8,25.2,32.4,0.375,252.181,18,9,8
182.883,68.810,497.548,0.732,2.030,100.8,25.5,32,0.275,229.303,12,7,5
186.757,68.236,502.110,0.666,2.002,100.8,25.5,32.2,0.137,238.316,22,14,7
193.732,73.982,500.750,0.718,2.042,100.8,25.44,32.6,0.315,240.516,13,6,7
188.004,76.664,498.566,0.580,2.054,100.8,25.3,33.4,0.635,182.765,9,5,3
197.328,73.453,492.332,0.610,2.072,100.8,25.3,34.6,0.300,231.282,13,6,7
187.695,78.240,488.990,0.706,2.070,100.8,25.1,34.8,0.257,266.591,15,5,9
211.793,79.213,499.980,0.723,2.083,100.8,24.9,36.2,0.291,249.400,17,10,7
220.261,87.708,502.746,0.686,2.068,100.8,24.92,34.8,0.186,222.643,19,11,8
172.388,78.940,490.292,0.722,2.047,100.82,24.88,34.4,0.308,237.923,16,9,6
197.315,81.314,497.410,0.728,2.052,100.9,24.8,34.6,0.356,245.035,11,7,4
180.511,84.240,502.705,0.747,2.065,100.9,24.74,34,0.253,263.042,10,2,8
210.796,85.664,524.060,0.720,2.100,100.9,24.62,35.2,0.040,270.000,9,3,5
199.968,96.107,534.933,0.745,2.122,100.9,24.18,36.4,0.000,0.000,11,4,6
200.118,110.126,540.932,0.770,2.142,100.9,23.5,37.6,0.099,85.556,12,8,4
188.213,92.157,542.828,0.750,2.140,100.9,23.08,39,0.040,90.000,17,9,7
188.532,98.996,537.770,0.750,2.132,100.9,22.66,40,0.000,0.000,6,1,4
173.862,80.017,512.427,0.718,2.120,100.9,22.56,40,0.000,0.000,10,7,3
167.328,83.894,510.636,0.708,2.126,100.9,22.64,39.4,0.000,0.000,14,10,4
161.111,85.940,512.077,0.738,2.125,100.9,22.52,40,0.039,56.250,16,8,8
166.606,86.842,521.854,0.742,2.136,100.9,22.3,40.4,0.020,45.000,13,7,6
143.676,77.718,505.513,0.740,2.115,100.9,22.3,40.8,0.000,0.000,10,6,4
144.410,70.682,496.424,0.682,2.116,100.9,22.54,40,0.000,0.000,11,5,5
54.754,53.742,497.972,0.628,1.822,100.8,28.3,31.4,0.935,259.678,13,8,5
65.850,35.753,495.153,0.668,1.833,100.8,28.5,31,1.476,285.648,16,7,8
63.604,69.250,488.946,0.678,1.808,100.8,28.42,30.4,1.624,269.730,17,11,6
56.035,58.585,492.352,0.690,1.807,100.8,28.52,30.4,1.403,274.381,14,9,5
49.015,38.324,487.360,0.726,1.782,100.8,28.64,28.4,1.737,287.698,16,6,9
66.181,35.058,492.136,0.720,1.792,100.8,29.02,28.2,1.357,277.128,8,5,2
75.306,52.197,493.480,0.733,1.792,100.8,29.38,28,1.080,284.355,14,7,5
70.233,33.702,497.874,0.738,1.788,100.8,29.7,27.6,0.716,306.397,15,9,5
51.780,32.670,492.795,0.740,1.753,100.8,30.28,24.6,1.577,285.986,22,9,12
50.417,29.815,494.302,0.734,1.750,100.8,30.14,24.8,1.347,279.485,25,14,11
50.649,21.505,493.455,0.778,1.713,100.8,30.06,24,1.409,250.925,13,8,3
52.923,40.406,496.652,0.694,1.746,100.8,29.94,25,1.327,282.872,19,10,9
43.636,23.670,496.080,0.768,1.737,100.8,30.36,24.4,1.127,265.181,18,9,9
33.958,19.118,487.220,0.830,1.680,100.8,30.94,22.8,1.079,279.386,19,12,7
78.283,35.340,488.390,0.827,1.715,100.8,31.18,23,1.315,276.163,8,7,1
49.285,26.434,491.364,0.778,1.740,100.8,30.62,24.2,1.780,270.000,13,3,9
37.605,31.237,488.047,0.812,1.713,100.8,30.62,24,1.259,285.516,15,7,7
44.546,58.262,487.066,0.836,1.742,100.8,31.3,23.8,0.876,323.608,16,9,7
45.193,27.895,487.063,0.843,1.737,100.8,32,23,0.830,304.955,21,16,5
113.854,53.170,498.314,0.758,1.746,100.8,31.72,23.4,1.329,238.316,23,12,11
41.145,50.573,486.287,0.842,1.738,100.8,31.78,23,1.470,291.009,10,6,4
32.162,42.976,481.388,0.868,1.702,100.8,32.08,22,1.296,292.000,13,7,5
39.826,48.608,485.645,0.837,1.722,100.76,32.02,22.2,1.389,291.484,14,9,4
