CH4(ppm),Pressure,Temperature,Humidity,WindSpeed,WindDirections,TrafficCounts,DieselCounts,GasselCounts
1.754,100.8,30.2,23.8,1.393,166.985,18,12,6
1.745,100.8,30.04,23.4,2.16,180,15,11,3
1.738,100.8,30.1,23.4,1.994,197.655,22,10,9
1.725,100.8,30,23,1.855,207.471,22,12,8
1.736,100.8,30.1,23,2.669,189.742,12,4,7
1.732,100.8,29.92,23,2.809,194.196,17,6,11
1.734,100.8,29.98,23.2,3.1,192.692,23,9,11
1.742,100.8,30.06,23,2.867,188.598,16,8,7
1.74,100.8,30.1,23,3.381,184.024,17,9,8
1.748,100.8,30.1,24,2.646,184.645,13,10,3
1.736,100.8,30,23.2,3.221,194.028,36,11,24
1.742,100.8,29.96,24,3.059,197.621,25,11,14
1.752,100.8,29.94,24,2.057,183.414,13,11,2
1.747,100.8,29.8,23.6,2.6,180,13,7,6
1.754,100.8,29.84,23.6,1.888,173.016,13,3,10
1.74,100.8,29.8,23.8,1.96,180,10,2,8
1.754,100.8,29.76,24.4,2.255,198.607,18,8,9
1.79,100.8,29.76,25.2,2.095,226.047,18,10,8
1.79,100.8,29.66,25.4,2.46,202.5,16,7,9
1.813,100.8,29.54,25.8,1.717,233.198,17,11,5
1.796,100.8,29.54,25.4,2.04,202.5,19,11,6
1.793,100.8,29.56,25.8,1.953,218.936,18,4,14
1.788,100.8,29.48,25.2,2.604,230.058,22,6,15
1.772,100.8,29.36,25,2.064,222.449,23,10,10
1.776,100.8,29.28,25,2.969,221.453,22,8,13
1.772,100.8,29.14,25,2.919,240.823,19,10,8
1.762,100.8,29,25,2.643,230.149,23,14,9
1.753,100.8,29.02,25,2.262,225.581,20,7,12
1.76,100.8,28.98,25,2.705,229.707,16,9,6
1.752,100.8,28.96,24.8,2.273,222.878,10,6,4
1.744,100.8,28.96,24.4,2.02,225,11,5,6
1.752,100.8,28.88,25,2.482,230.058,17,7,9
1.74,100.8,28.72,25,2.6,225,21,11,9
1.757,100.8,28.78,25,2.061,211.472,23,17,6
1.76,100.8,28.8,25.2,2.56,225,20,11,8
1.758,100.8,28.74,25.6,1.905,194.185,18,6,12
1.758,100.8,28.74,25.2,2.28,225,15,6,9
1.763,100.8,28.76,25.4,1.738,229.546,12,7,5
1.766,100.8,28.86,26,2.16,226.421,23,14,8
1.778,100.8,28.8,26,2.101,224.791,14,4,9
1.772,100.8,28.68,26,2.531,236.868,19,8,11
1.782,100.8,28.52,26.2,2.141,233.429,20,12,8
1.776,100.78,28.5,26,2.315,228.792,12,6,5
1.778,100.72,28.5,26,2.155,229.073,11,6,5
1.762,100.7,28.4,26,2.511,229.02,27,12,15
1.775,100.7,28.32,26,2.035,229.313,18,8,10
1.772,100.7,28.38,26,1.533,228.721,16,4,11
1.778,100.7,28.32,26,1.744,227.516,13,4,8
1.768,100.7,28.32,26,1.878,226.634,17,12,4
1.777,100.7,28.34,26.2,2.2,247.5,17,8,9
1.774,100.7,28.3,26,2.22,225,15,5,10
1.763,100.74,28.26,26,2.44,225,22,8,14
1.768,100.8,28.12,26.4,2.12,221.896,22,11,10
1.79,100.8,28.06,26.8,2.173,220.556,23,11,12
1.79,100.8,28,27,1.515,231.671,22,9,12
1.798,100.78,27.98,27,2.054,229.487,13,3,9
1.796,100.8,27.8,27,2.189,230.418,19,11,8
1.798,100.74,27.78,27.4,1.878,226.634,27,12,15
1.8,100.78,27.62,28,2.366,219.618,21,10,10
1.792,100.8,27.5,28,2,225,17,2,14
1.802,100.8,27.4,28,1.659,229.498,17,3,14
1.802,100.8,27.32,28,1.526,228.164,14,5,7
1.796,100.8,27.32,28,1.805,214.741,18,6,12
1.797,100.8,27.3,28,1.5,227.047,17,11,6
1.79,100.8,27.34,28,1.02,211.997,16,12,3
1.793,100.8,27.18,28,1.184,229.819,21,8,10
1.796,100.8,27.1,28.4,1.126,220.714,18,9,8
1.803,100.8,27.1,29,0.692,233.91,22,9,13
1.798,100.8,27,29,0.844,223.44,12,5,7
1.803,100.8,26.78,29.2,0.902,214.741,17,7,8
1.814,100.8,26.7,29.8,0.885,240.547,20,9,11
1.82,100.8,26.36,30.4,0.784,230.601,15,8,6
1.822,100.8,26.2,31,0.351,226.629,13,6,7
1.912,100.8,26.2,31,0.513,212.67,24,7,16
1.812,100.8,26.3,30,0.464,207.742,22,14,7
1.813,100.8,26.34,30,0.282,245.032,12,5,6
1.928,100.8,26.14,31,0.13,239.752,9,4,4
2.03,100.8,25.94,31,0.155,275.242,12,10,1
2.064,100.8,25.9,31.6,0.154,278.128,12,3,8
2.063,100.8,25.72,32,0.02,315,17,11,6
2.036,100.8,25.36,32.2,0,0,13,6,6
2.045,100.8,25.14,33,0,0,15,6,9
2.04,100.8,24.98,33.6,0.02,292.5,17,11,6
2.028,100.8,25.2,32.4,0.375,252.181,18,9,8
2.03,100.8,25.5,32,0.275,229.303,12,7,5
2.002,100.8,25.5,32.2,0.137,238.316,22,14,7
2.042,100.8,25.44,32.6,0.315,240.516,13,6,7
2.054,100.8,25.3,33.4,0.635,182.765,9,5,3
2.072,100.8,25.3,34.6,0.3,231.282,13,6,7
2.07,100.8,25.1,34.8,0.257,266.591,15,5,9
2.083,100.8,24.9,36.2,0.291,249.4,17,10,7
2.068,100.8,24.92,34.8,0.186,222.643,19,11,8
2.047,100.82,24.88,34.4,0.308,237.923,16,9,6
2.052,100.9,24.8,34.6,0.356,245.035,11,7,4
2.065,100.9,24.74,34,0.253,263.042,10,2,8
2.1,100.9,24.62,35.2,0.04,270,9,3,5
2.122,100.9,24.18,36.4,0,0,11,4,6
2.142,100.9,23.5,37.6,0.099,85.556,12,8,4
2.14,100.9,23.08,39,0.04,90,17,9,7
2.132,100.9,22.66,40,0,0,6,1,4
2.12,100.9,22.56,40,0,0,10,7,3
2.126,100.9,22.64,39.4,0,0,14,10,4
2.125,100.9,22.52,40,0.039,56.25,16,8,8
2.136,100.9,22.3,40.4,0.02,45,13,7,6
2.115,100.9,22.3,40.8,0,0,10,6,4
2.116,100.9,22.54,40,0,0,11,5,5
1.822,100.8,28.3,31.4,0.935,259.678,13,8,5
1.833,100.8,28.5,31,1.476,285.648,16,7,8
1.808,100.8,28.42,30.4,1.624,269.73,17,11,6
1.807,100.8,28.52,30.4,1.403,274.381,14,9,5
1.782,100.8,28.64,28.4,1.737,287.698,16,6,9
1.792,100.8,29.02,28.2,1.357,277.128,8,5,2
1.792,100.8,29.38,28,1.08,284.355,14,7,5
1.788,100.8,29.7,27.6,0.716,306.397,15,9,5
1.753,100.8,30.28,24.6,1.577,285.986,22,9,12
1.75,100.8,30.14,24.8,1.347,279.485,25,14,11
1.713,100.8,30.06,24,1.409,250.925,13,8,3
1.746,100.8,29.94,25,1.327,282.872,19,10,9
1.737,100.8,30.36,24.4,1.127,265.181,18,9,9
1.68,100.8,30.94,22.8,1.079,279.386,19,12,7
1.715,100.8,31.18,23,1.315,276.163,8,7,1
1.74,100.8,30.62,24.2,1.78,270,13,3,9
1.713,100.8,30.62,24,1.259,285.516,15,7,7
1.742,100.8,31.3,23.8,0.876,323.608,16,9,7
1.737,100.8,32,23,0.83,304.955,21,16,5
1.746,100.8,31.72,23.4,1.329,238.316,23,12,11
1.738,100.8,31.78,23,1.47,291.009,10,6,4
1.702,100.8,32.08,22,1.296,292,13,7,5
1.722,100.76,32.02,22.2,1.389,291.484,14,9,4
1.724,100.8,32.44,22,0.983,6.675,17,8,8
1.727,100.78,33.16,22,1.079,31.886,13,9,3
1.736,100.8,33.02,21.6,1.705,45.772,18,10,8
1.747,100.8,32.96,22,1.15,41.539,24,14,9
1.748,100.8,33.38,21.6,0.752,334.817,16,13,3
1.755,100.8,33.38,22,1.263,359.524,21,9,12
1.756,100.8,33.96,21.2,0.801,7.138,11,10,1
1.757,100.8,34.02,21,0.774,336.187,22,10,11
1.768,100.7,34.24,21.2,0.495,324.196,13,5,8
1.763,100.7,34.96,20.2,0.812,350.141,18,7,9
1.768,100.7,34.94,20.4,0.868,9.766,14,11,3
1.763,100.7,34.84,20.4,0.683,3.854,15,8,7
1.744,100.7,34.62,20.4,1.007,0.871,14,8,6
1.757,100.7,34.7,21,1.14,26.533,11,8,3
1.76,100.7,34.4,21,0.807,352.688,19,3,15
1.763,100.7,34.48,20.8,0.778,17.629,16,10,5
1.772,100.7,34.8,21,1.463,37.263,13,6,7
1.775,100.7,34.16,21.2,1.98,45,22,13,9
1.784,100.7,34.28,21.6,1.502,36.657,17,10,7
1.78,100.7,34.68,21,1.349,333.594,14,10,4
1.78,100.7,34.28,21.4,1.325,336.603,13,6,7
1.778,100.7,34.22,21.4,1.666,307.078,17,9,8
1.79,100.7,34.1,21.4,1.027,286.941,14,6,8
1.785,100.7,33.7,22,1.893,287.397,7,3,4
1.768,100.7,33.98,22,1.052,294.739,12,8,4
1.815,100.7,34.48,22,0.967,315.592,13,7,6
1.826,100.62,34.58,22,0.514,318.166,15,6,8
1.822,100.6,35.28,21,1.236,43.935,8,6,2
1.84,100.6,35.02,21.8,1.677,55.114,10,8,2
1.82,100.6,35.18,21.4,1.703,42.94,11,5,4
1.825,100.6,35.3,21.6,0.774,4.535,13,9,2
1.883,100.6,35.32,22,1.16,322.112,18,12,6
1.864,100.6,35.34,22,2.027,37.381,7,3,4
1.862,100.6,35.3,22,1.139,3.08,13,6,7
1.872,100.6,35.22,22.4,2.248,39.727,23,7,16
1.892,100.6,35.28,22.8,1.66,44.472,24,7,16
1.914,100.6,35,23,1.554,346.329,15,4,9
1.912,100.6,35.4,23,0.959,316.68,7,3,4
1.914,100.6,35.84,23,0.97,344.1,13,8,4
1.91,100.6,35.82,23,1.865,35.789,11,7,3
1.942,100.58,35.74,23,1.717,52.169,21,10,10
1.92,100.5,35.5,23.2,2.287,73.07,16,10,5
1.944,100.5,35.56,23.4,1.046,33.918,15,11,4
1.962,100.5,35.56,23.4,0.497,29.308,13,8,5
2.05,100.5,35.9,23,0.246,236.339,10,6,4
2.023,100.5,35.8,23.4,2.296,80.6,15,12,2
2.118,100.5,35.48,23.4,1.019,79.442,18,10,8
1.952,100.5,35.72,23.8,0.565,356.119,15,8,6
1.962,100.5,36.44,23,0.863,70.042,18,10,6
1.952,100.5,36.08,23,0.666,177.365,6,2,4
2.004,100.5,36.02,23.4,0.517,122.315,16,7,9
2.017,100.5,36.26,23,0.655,6.202,8,6,2
1.948,100.5,36.44,23,0.699,352.216,15,8,7
1.95,100.5,36.3,23,1.09,310.972,14,8,6
2.046,100.5,36.54,22.8,0.721,343.59,20,12,7
2.112,100.5,36.32,23.4,0.216,112.81,19,10,7
2.212,100.5,36.14,24.2,0.999,95.352,14,5,8
2.052,100.5,35.48,24,1.774,69.973,8,3,5
2.037,100.5,35.56,24,2.429,62.983,19,11,7
2.042,100.5,35.66,24,2.257,54.17,19,9,10
2.095,100.5,35.66,23.6,2.026,69.665,17,8,9
1.936,100.5,35.5,23.4,1.238,38.648,12,5,6
2.092,100.5,36.06,23,1.307,70.857,19,7,8
1.936,100.5,35.8,23,2.414,80.695,19,12,7
1.94,100.5,35.56,23.4,1.323,71.148,27,17,10
1.94,100.5,35.46,23.2,1.644,48.202,13,6,6
1.932,100.5,35.3,23.6,1.222,72.172,21,7,12
2.026,100.5,35.16,23.8,0.785,80.459,18,7,9
1.912,100.5,35.2,23,1.864,57.809,11,6,4
1.89,100.5,35.08,23,1.26,45,19,12,5
1.893,100.5,34.86,23,2.18,45,13,6,6
1.876,100.5,34.82,22.8,1.491,55.051,14,8,5
1.887,100.5,34.92,23,1.458,61.472,15,6,9
1.878,100.5,34.74,23.2,1.207,41.365,17,10,6
1.978,100.5,35.02,23,1.24,51.737,16,8,7
1.9,100.5,35,23.2,2.092,72.326,16,9,7
1.9,100.5,34.3,24,1.76,90,15,5,10
1.894,100.5,34,24.2,1.648,79.564,20,9,10
1.88,100.5,33.88,24,1.845,76.811,18,9,7
1.884,100.5,33.86,24,1.88,67.5,20,8,10
1.877,100.5,33.88,24,2.156,86.133,18,5,12
1.858,100.5,33.76,24,2.08,76.815,24,11,11
1.86,100.5,33.64,24,2.297,86.561,19,11,7
1.836,100.5,33.6,23.2,2.119,78.117,14,6,7
1.818,100.5,33.58,23,1.74,67.5,16,7,8
1.816,100.5,33.42,23,1.618,72.386,25,7,17
1.815,100.5,33.3,23,2.24,67.5,21,7,13
1.822,100.5,33.3,23,2.316,86.4,22,8,12
1.83,100.5,33.24,23.6,1.579,72.507,23,8,14
1.848,100.5,33.06,24,1.925,81.771,21,6,13
1.848,100.5,32.86,24.2,1.413,76.535,25,8,16
